,RESPONDA ABAIXO!
Qual o momento atual da empresa?,"Estamos no momento de restruturação interna, para em 2027 estruturarmos o modelo de franquia para expansão. Atualmente somos uma empresa familiar e todas as lojas são proprias. 80% das vendas estão no ifood/99food e 20% na porta. O percentual de buffet de eventos é variavel, normalmente estão concentrados no final do ano por conta dos eventos corporativos."
"Você tem metas de performance em marketing e vendas bem definidas? Se sim, descreva abaixo:","Não temos. Antes tinhamos um contrato de exclusividade com ifood, desde julho esse contrato foi quebrado por conta de uma oferta da 99food. Sempre tivemos muita demanda por conta da visibilidade no ifood, nosso crescimento na plataforma era entre 15 a 20 %. Depois da quebra do contrato tivemos um decrescimo das vendas. Nosso objetivo é converter essas vendas para um processo proprio, porque temos clientes recorrentes, apaixonados, que buscam por nossos produtos, porem nao temos uma estrutura comercial para oferecer a qualidade que o marketplace oferece."
Qual a margem de contribuição e faturamento mensal?,margem de contribuição 10%. faturamento 150mil mensal
Qual o seu ticket médio atual?,ticket médio entre 50 a 80 reais durante a semana e 80 a 100 reais aos finais de semana
Descreva as forças da sua empresa,"Produto de alta qualidade (comida feita por minha mae, receita da familia)
Entrega rápida e foco no atendimento ao cliente
Modelo de baixo custo e grande escala
Equipe já estruturada, 7 lojas em pontos estrategicos
Dupla operação: delivery + buffet de eventos (duas fontes de receita)"
Descreva as fraquezas da sua empresa,"Gestão centralizada em uma pessoa que não tem dedicação exclusiva( por isso nesse momento esta entrando na empresa uma socia que é engenheira de produção, especialista em sistemas de gestão que irá me ajudar a mudar esse cenario, porque ela tera dedicação exclusiva)
Dependência da produção familiar (minha mae)
Processos comerciais e de marketing ainda não estruturados (sem metas claras)
Presença digital subutilizada"
Descreva as oportunidades da sua empresa aqui,"Tradição de feijoada aos sábados e domingos no Brasil (demanda recorrente previsível de combos com ticket medio mais alto) demanda de comida caseira para almoço(ticket medio baixo) durante a semana de segunda a sexta
Mercado de eventos corporativos e casamentos em crescimento
Expansão para outras capitais com o modelo de franquia
Delivery por aplicativos (iFood, etc.) como canal de escala
Diferenciação por ""premium gourmet"" em um mercado majoritariamente informal"
Descreva as ameaças a sua empresa aqui,"Concorrência de restaurantes, marmitarias e feijoadas informais a preços baixos
Oscilação de preço de insumos (carne, feijão)
Dependência de canais de delivery (taxas dos aplicativos)
Sazonalidade de eventos (meses fracos)"
"Atualmente, há alguém que faça a gestão de redes sociais  da empresa?",NÃO
PUV (Proposta Única de Valor),"entrega rápida, qualidade do produto e atendimento ao cliente"
Deixe aqui as suas referências e quem te inspira:, Me inspiro em grandes franquias: @burgerkingbr @mcdonalds_br @subwaybrasil @thebestacai Gosto de coisas autorais e criativas: @pirambeira.bar @redburger_ @pizzasupreme.br Feijoada que me inspiro: @benditafeijucaecozinha 
Sobre seu serviço / produto e público,
Sobre o que é o seu serviço?,"Comida brasileira.Fast food, delivery, congelada e para eventos. para o dia a dia e para reunião de amigos e familia."
"Para quem seu serviço é pensado? Considere:
a. Faixa de idade e momento da vida;
b. Gênero predominante (homem e mulher);
c. Motivação para compra dos serviços;
d.  Principais objeções do cliente;
e. Traços de personalidade;
f.  Qualquer outra questão relevante na vida profissional;
g. Qualquer outras questões relevantes na vida pessoal.","Faixa etária/momento de vida: adultos 25–60 anos; famílias e profissionais que valorizam refeição tradicional de qualidade; também empresas (eventos corporativos).
Gênero: sem predominância forte — famílias decidem em conjunto; mulheres costumam liderar a decisão de alimentação doméstica.
Motivação de compra: tradição da feijoada de sábado e domingo, conveniência do delivery, celebração de eventos (aniversários, confraternizações, casamentos).
Principais objeções: preço mais alto que feijoada informal, receio de qualidade na entrega (comida fria/embalagem), desconfiança sobre porção.
Traços de personalidade: consumidores que valorizam qualidade, tradição e praticidade; dispostos a pagar mais por experiência premium.
Vida profissional: profissionais sem tempo para cozinhar; empresas que contratam buffet para eventos.
Vida pessoal: famílias que querem celebrar momentos especiais sem o trabalho de cozinhar."
Quais os 5 principais problemas que seu serviço resolve?,"Falta de tempo para preparar uma feijoada completa
Dificuldade de encontrar feijoada de qualidade no delivery
Necessidade de comida de qualidade para eventos sem dor de cabeça
Entrega demorada ou comida fria (diferencial: rapidez)
Desejo de uma experiência ""premium"" em casa ou no evento"
Quais os 5 principais benefícios que seu serviço oferece?,"Feijoada carioca autêntica, feita por tradição familiar
Entrega rápida, comida quente na hora
Qualidade gourmet/premium padronizada em cada porção
Atendimento completo para eventos (buffet)
Praticidade e conveniência sem abrir mão da tradição"
O que deixa os potenciais clientes frustrados ou/e desmotivados?,"Feijoadas de delivery que chegam frias ou mal embaladas
Demora na entrega
Qualidade inconsistente entre pedidos
Porções menores que o esperado
Preço alto sem percepção clara de valor"
Quais são  as objeções que o cliente precisa superar para entender que adquirir o seu serviço é a melhor decisão que ele poderia tomar?,"""Feijoada de delivery não é tão boa quanto a de restaurante""
""É caro para o que entrega""
""Será que chega quente e no prazo?""
""Por que pagar mais que a feijoada do bairro?"""
Como você acredita que podemos quebrar cada objeção ou crença limitante apontada?,"Qualidade: provas reais (fotos, depoimentos, avaliações) + embalagem que preserva temperatura
Preço: mostrar o valor percebido (porção generosa, acompanhamentos inclusos, experiência premium)
Entrega: compromisso de tempo de entrega + rastreamento + garantia
Concorrência: comparativos claros e demonstração do diferencial gourmet"
Você tem provas reais que poderemos usar mostrando os benefícios do serviço ou depoimentos de clientes?,sim. avaliações do ifood
Haverá alguma possibilidade de ofertas especiais?,sim. penso que durante a semana podemos oferecer ofertas diarias. pratos novos mensais conforme datas comemorativas e finais de semana foco em kits
Há serviços concorrentes no mercado? Cite quais e nomes dos concorrentes,sim. @feijoadavipsalvador @feijoadadacelma @santafeijucasalvador @feijoadadajessicabuffet @buffetrosebatista @feijoadacariocasalvador @feijoadaporreta @feijaodanegasu @feijoart @navarandadelivery @casadirosafeijoadaeafins @feijoadadasmeninas @feijoadadarita @feijoadaporreta @feijoadacariocasalvador @cozinhadamari.ssa @rainhadafeijoadaoficial @feijoadaporanaabade @baopetiscaria Franquia: @feijoadanuubalde @beangobrasil
Por que o seu serviço será melhor que os serviços dos concorrentes? O que somente o seu serviço entrega?,"Modelo premium gourmet em mercado majoritariamente informal
Velocidade de entrega como compromisso central
Qualidade consistente (produção própria, controle familiar)
Dupla operação (delivery + eventos) um só fornecedor para tudo"
Quais são os diferenciais dos serviços concorrentes que chamam sua atenção?,no ifood a maioria copia o que a gente faz. mas preciso estudar mais os concorrentes
Sobre o seu processo comercial,
"Existe recorrência de compra? Se sim, de quanto em quanto tempo?",sim. semanal
"Caso haja um histórico de ofertas validadas, descreva-as abaixo:","kit+refrigerante+sobremesa/ kits para 2,4, 6 e 8 pessoas"
Como funciona o seu Processo de Vendas atual?,somente marketplace
Qual a estrutura do seu time comercial? ,supervisora adm
Qual a sua nota de avaliação da maturidade comercial do time?,nao temos maturidade comercial
"Uma vez prospectado, quanto tempo leva, em média, para o seu lead comprar o seu produto/serviço?",nao tenho essa informação
Peculiaridades Sazonais,"Feijoada: pico de vendas aos finais de semana, meses melhores novembro, dezembro e fevereiro
Eventos: alta em final de ano, casamentos (maio–outubro), confraternizações de empresa (nov–dez) e festas juninas
Meses fracos: março costuma ser mais fraco"
Fazem o acompanhamento de métricas comerciais através de algum tipo de relatório?,"faço um acompanhamento, principalmente das metricas do ifood. mas sem a devida frequencia"
